,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
victoria,0,0,3,0,0,0
receiveing,0,0,1,2,0,0
xfer,0,0,4,1,0,0
invasion,0,0,1,1,4,0
redesign,0,0,1,0,0,0
redemptionshttp,0,0,1,0,0,0
untrustworthy,0,0,1,1,0,0
summarized,0,0,1,2,0,0
rendering,0,0,1,5,2,0
intervenes,0,0,1,0,0,0
citibk,0,0,6,0,0,0
calcs,0,0,1,0,0,0
chrgd,0,0,3,0,0,0
chrg,0,0,1,0,0,0
unravel,0,0,1,0,0,0
rerun,0,0,1,0,0,0
youour,0,0,1,0,0,0
brook,0,0,3,0,0,0
precipitously,0,0,1,0,0,0
suprise,0,0,2,0,0,0
no,0,0,2,0,4,0
merchanst,0,0,1,0,0,0
restuarnat,0,0,1,0,0,0
maerchant,0,0,1,0,0,0
frauder,0,0,1,0,0,0
poilcy,0,0,1,0,0,0
upcharge,0,0,1,0,0,0
denotes,0,0,1,0,0,0
barclaycards,0,0,1,0,0,0
keypad,0,0,2,0,0,0
burglarized,0,0,1,2,0,0
sadness,0,0,1,0,0,0
unrecognizable,0,0,1,0,0,0
responds,0,0,1,6,4,1
worthy,0,0,2,5,2,0
deceitfully,0,0,1,0,1,0
despairing,0,0,1,0,0,0
announced,0,0,3,6,5,0
uspo,0,0,1,0,1,0
resin,0,0,1,0,0,0
concurred,0,0,1,0,1,0
o,0,0,1,0,1,0
benefi,0,0,5,0,0,0
thatstay,0,0,1,0,0,0
redemptionto,0,0,1,0,0,0
rebooked,0,0,1,0,0,0
rebooking,0,0,1,0,0,0
willreceive,0,0,1,0,0,0
renumbered,0,0,1,0,0,0
lick,0,0,1,0,0,0
cbisubject,0,0,1,0,0,0
informationi,0,0,1,0,0,1
pessimistic,0,0,1,0,0,0
unpublished,0,0,1,0,1,0
bday,0,0,1,0,3,0
myriad,0,0,1,1,1,1
concertn,0,0,1,0,0,0
reluctance,0,0,1,1,0,1
platimum,0,0,1,0,0,0
helzberg,0,0,3,0,0,0
beautiful,0,0,1,6,0,0
supportable,0,0,2,0,0,0
eleven,0,0,1,3,8,1
derrogatories,0,0,1,0,0,0
deterred,0,0,1,0,0,0
creditable,0,0,1,1,0,0
deterrent,0,0,1,0,0,0
demographic,0,0,1,0,0,0
judging,0,0,1,1,1,0
harshly,0,0,1,0,1,0
refreshing,0,0,1,0,0,0
skeptical,0,0,2,4,0,2
undeserving,0,0,1,0,0,0
impair,0,0,1,1,0,0
bury,0,0,1,1,0,1
informative,0,0,1,0,1,1
conctacted,0,0,1,0,0,0
esclation,0,0,1,0,0,0
promortion,0,0,1,0,0,0
confimration,0,0,1,0,0,0
prudence,0,0,1,0,0,0
mouselike,0,0,1,0,0,0
emitted,0,0,1,0,0,2
molecular,0,0,1,0,0,0
hoky,0,0,1,0,0,0
paltry,0,0,1,0,0,0
institutin,0,0,1,0,0,0
sais,0,0,1,0,0,1
landed,0,0,1,3,1,1
dowload,0,0,1,0,0,0
dawned,0,0,1,0,0,0
trasnsaction,0,0,1,0,0,0
auropcsupport,0,0,3,0,0,0
thouroughly,0,0,1,0,0,0
clever,0,0,1,1,0,0
malware,0,0,1,0,0,0
googe,0,0,1,0,0,0
unreadable,0,0,1,1,0,0
singled,0,0,2,1,0,2
quicksilver,0,0,1,0,0,0
categorizing,0,0,1,0,0,0
tradelines,0,0,2,0,1,13
sycnhrony,0,0,2,0,0,0
coaching,0,0,1,0,0,0
faithful,0,0,1,0,2,0
dismayed,0,0,1,3,0,0
overpaying,0,0,1,0,0,0
unreliable,0,0,1,3,2,2
boot,0,0,1,0,1,1
defaulting,0,0,1,5,2,0
modifying,0,0,1,18,2,1
alleviate,0,0,1,4,1,0
attn,0,0,2,5,4,6
distracted,0,0,1,1,1,0
inadvertantly,0,0,1,0,0,0
unforgiving,0,0,1,0,0,0
lousy,0,0,1,1,0,0
remembers,0,0,1,0,0,0
approximated,0,0,1,1,1,0
sscore,0,0,1,0,0,0
protective,0,0,1,6,0,1
condescendingly,0,0,1,0,0,0
shuffling,0,0,1,2,0,0
yanked,0,0,1,1,0,0
shattering,0,0,1,0,0,0
complicating,0,0,1,0,0,0
collecter,0,0,1,0,1,0
newsletter,0,0,2,0,0,0
prtctn,0,0,1,0,0,0
crdtsfpls,0,0,1,0,0,0
proliferated,0,0,1,0,0,0
accompanies,0,0,1,0,0,0
totality,0,0,2,0,0,0
unseen,0,0,1,0,0,0
apoligize,0,0,1,0,0,0
overjoyed,0,0,1,0,0,0
automatied,0,0,2,1,0,0
spectrum,0,0,3,0,0,0
uncapped,0,0,1,0,0,0
mainly,0,0,1,4,2,1
arbitrage,0,0,1,0,0,0
americaxx,0,0,1,0,0,0
establishedxx,0,0,1,0,0,0
citibanks,0,0,1,2,1,0
sift,0,0,1,0,0,0
undertaken,0,0,1,2,0,0
millionaire,0,0,1,0,0,0
nonstudents,0,0,1,0,0,0
dedication,0,0,2,0,0,0
lightly,0,0,1,2,1,0
trainer,0,0,6,0,2,0
hadto,0,0,1,0,0,0
offerrd,0,0,1,0,0,0
diet,0,0,1,0,0,0
dietitian,0,0,1,0,0,0
measurement,0,0,1,0,0,0
strived,0,0,1,0,0,0
disenchanted,0,0,1,0,0,0
donotreply,0,0,1,0,0,0
bombarded,0,0,1,1,0,0
bidding,0,0,1,4,0,0
widespread,0,0,1,0,1,1
recap,0,0,1,2,0,0
crystal,0,0,1,0,0,0
saids,0,0,1,0,0,0
evidencing,0,0,1,1,2,1
rebated,0,0,1,2,0,0
unwelcome,0,0,1,0,0,0
deduced,0,0,1,0,0,0
thi,0,0,1,0,0,0
si,0,0,1,0,0,0
customership,0,0,1,0,0,0
doillas,0,0,1,0,0,0
intactedness,0,0,1,0,0,0
esp,0,0,1,1,0,0
pillow,0,0,1,0,1,0
acquiesced,0,0,1,0,0,0
sens,0,0,1,0,0,0
wal,0,0,6,0,0,0
slashed,0,0,3,0,0,0
unbelievably,0,0,1,1,0,1
viewable,0,0,1,1,1,2
packing,0,0,3,1,0,1
propose,0,0,1,2,2,0
apporx,0,0,1,0,0,0
expidite,0,0,1,0,0,0
haave,0,0,1,1,1,0
herd,0,0,1,1,0,0
homeline,0,0,1,0,0,0
craiglist,0,0,1,0,0,0
sansumg,0,0,1,0,0,0
atfer,0,0,1,0,0,0
cooling,0,0,1,0,1,0
townhouse,0,0,1,4,2,0
conditioning,0,0,5,0,0,0
undersized,0,0,1,0,0,0
duct,0,0,5,0,0,0
ceiling,0,0,4,12,2,1
blueprint,0,0,1,0,0,0
diagram,0,0,1,0,0,0
reduces,0,0,1,3,0,0
manufacturing,0,0,2,1,1,0
eager,0,0,1,3,0,1
airfare,0,0,2,0,0,0
filledout,0,0,1,0,0,0
ofice,0,0,1,0,0,0
cancled,0,0,1,0,1,0
cancle,0,0,1,0,0,0
agreeded,0,0,1,1,1,0
exdughter,0,0,1,0,0,0
theif,0,0,1,0,1,1
mitigates,0,0,1,0,0,0
financialwant,0,0,1,0,0,0
backtrack,0,0,1,2,0,0
luring,0,0,1,0,0,0
nba,0,0,2,7,0,0
basketball,0,0,1,0,1,0
incredibily,0,0,1,0,0,0
udder,0,0,1,0,0,0
bull,0,0,1,0,5,0
tiny,0,0,1,1,1,0
undefined,0,0,1,1,1,1
telll,0,0,1,0,0,0
posture,0,0,1,1,0,0
dishearten,0,0,1,0,0,0
insensitivity,0,0,1,0,0,0
puzzling,0,0,1,1,0,0
newborn,0,0,1,1,0,0
joy,0,0,1,1,0,0
adversity,0,0,1,0,0,0
nexth,0,0,1,0,0,0
cusumer,0,0,1,0,0,0
preferring,0,0,1,0,0,0
ipads,0,0,1,0,0,0
outscources,0,0,1,0,0,0
mini,0,0,3,1,20,0
gray,0,0,1,1,1,0
oneanother,0,0,1,0,0,0
silver,0,0,1,1,0,3
rethink,0,0,1,1,0,0
hereafter,0,0,1,0,2,3
amountge,0,0,1,0,0,0
xxxxge,0,0,11,0,0,0
reasonableness,0,0,1,0,0,0
seasoned,0,0,2,4,0,1
aged,0,0,5,4,18,21
needlessly,0,0,1,3,0,0
token,0,0,1,1,0,0
discloser,0,0,1,2,0,0
giftcards,0,0,1,0,0,0
xxxxsnychrony,0,0,1,0,0,0
gauging,0,0,1,1,0,0
bankameric,0,0,1,0,0,0
yearstimeline,0,0,1,0,0,0
devised,0,0,1,1,2,0
ytd,0,0,1,0,0,0
crusade,0,0,2,0,0,0
statusnotes,0,0,1,0,0,0
upalso,0,0,1,0,0,0
permissiona,0,0,1,0,0,0
actiondefinition,0,0,1,0,0,0
advertize,0,0,1,0,0,0
mitigating,0,0,2,1,0,0
decency,0,0,1,2,0,0
heartless,0,0,1,1,0,0
hampering,0,0,1,0,0,0
aafes,0,0,3,0,0,0
indebtness,0,0,1,0,0,0
dipping,0,0,1,1,0,0
fairness,0,0,1,2,2,3
agitation,0,0,1,0,0,0
courted,0,0,1,0,0,0
nose,0,0,1,3,0,2
messenger,0,0,1,2,2,0
fraudafter,0,0,1,0,0,0
irreversible,0,0,1,0,0,0
chare,0,0,2,0,0,0
pharmacy,0,0,2,0,1,0
vested,0,0,1,2,0,0
incentivized,0,0,1,1,0,0
abnormally,0,0,1,0,0,0
badgering,0,0,1,1,0,0
cripple,0,0,1,0,0,0
conciliatory,0,0,1,0,0,0
requalify,0,0,1,0,0,0
wrecking,0,0,1,0,0,0
renovation,0,0,1,6,0,0
quested,0,0,1,0,0,0
subchapter,0,0,2,7,2,2
iii,0,0,1,5,4,21
xxxxitems,0,0,1,0,0,0
theybill,0,0,1,0,0,0
eturned,0,0,1,0,0,0
requestted,0,0,1,0,0,0
irresponsibly,0,0,1,1,0,0
formation,0,0,1,0,0,2
proceded,0,0,1,0,0,0
thisthank,0,0,1,0,0,0
tortured,0,0,1,2,0,0
angered,0,0,1,0,0,0
attemting,0,0,1,0,0,0
advertized,0,0,1,0,0,0
reinserted,0,0,1,0,9,63
reinserting,0,0,1,0,3,6
demoting,0,0,1,0,0,0
languished,0,0,1,0,0,0
leadership,0,0,1,0,0,1
signaling,0,0,1,0,0,0
reciprocated,0,0,1,1,0,0
profiteering,0,0,1,1,0,0
intrusion,0,0,1,0,1,0
promos,0,0,1,0,0,0
blink,0,0,1,0,0,0
xxxxplus,0,0,1,1,0,0
pyramid,0,0,2,0,1,0
interpreting,0,0,1,0,1,0
inforamation,0,0,1,0,0,0
loews,0,0,2,0,0,0
cab,0,0,1,0,1,0
limo,0,0,2,0,0,1
confrontation,0,0,1,0,0,0
nit,0,0,1,1,0,0
securityjob,0,0,1,0,0,0
needy,0,0,1,0,0,0
wrangling,0,0,1,0,0,0
refereed,0,0,1,0,0,0
honour,0,0,2,0,0,0
swiftness,0,0,1,0,0,0
shook,0,0,1,1,0,0
uttergrief,0,0,1,0,0,0
inactivated,0,0,1,0,0,0
unacknowledged,0,0,1,0,0,0
stature,0,0,1,0,1,0
informaiton,0,0,1,0,1,1
emptied,0,0,1,0,0,1
welp,0,0,1,0,0,0
cooperative,0,0,4,5,8,3
compnay,0,0,1,2,1,0
invalidates,0,0,1,0,0,0
daugther,0,0,1,0,0,0
downsized,0,0,1,0,0,0
bubble,0,0,1,2,0,1
residpute,0,0,1,0,0,0
footprint,0,0,1,0,1,0
synthesize,0,0,1,0,0,0
persistance,0,0,1,0,0,0
inaccessibility,0,0,1,0,0,0
contributed,0,0,1,7,1,0
morass,0,0,1,0,0,0
cfpd,0,0,1,0,0,2
specious,0,0,1,0,0,0
outweighed,0,0,2,0,0,0
countervailing,0,0,2,0,0,0
competition,0,0,1,0,1,0
instituting,0,0,1,1,1,0
prochisted,0,0,1,0,0,0
laugh,0,0,2,1,2,2
assest,0,0,1,0,0,0
flordia,0,0,2,0,0,1
credt,0,0,1,1,0,1
vernacular,0,0,1,0,0,0
xxxxxxxxpaypal,0,0,1,0,0,0
comxx,0,0,1,0,0,0
mehello,0,0,1,0,0,0
mindset,0,0,1,0,0,0
extends,0,0,1,1,2,0
nordstrom,0,0,1,0,0,0
norstromcard,0,0,1,0,0,0
underused,0,0,1,0,0,0
campground,0,0,4,0,0,0
fsb,0,0,1,0,2,0
spousal,0,0,1,0,0,0
amenity,0,0,1,1,5,0
impeded,0,0,1,2,0,1
juniper,0,0,12,0,0,0
renig,0,0,1,0,0,0
sr,0,0,3,3,0,2
defray,0,0,1,0,0,0
pra,0,0,1,1,27,0
reage,0,0,1,0,0,1
paitience,0,0,1,0,0,0
aim,0,0,1,1,1,0
predetermined,0,0,2,1,1,0
oops,0,0,1,2,0,1
discovers,0,0,1,0,0,0
liabilty,0,0,1,0,0,0
enquired,0,0,1,0,0,0
blunder,0,0,1,0,0,9
sesame,0,0,1,0,0,0
sbl,0,0,1,0,0,0
straightforward,0,0,1,6,0,3
efs,0,0,6,0,0,0
pride,0,0,2,2,3,1
mailman,0,0,1,0,0,0
seening,0,0,1,0,0,0
registry,0,0,1,7,10,0
governor,0,0,1,2,3,0
aproximately,0,0,1,1,0,0
superchecks,0,0,3,0,0,0
distinguishes,0,0,1,0,0,0
electronicallythe,0,0,1,0,0,0
safari,0,0,1,1,0,0
slipped,0,0,1,3,1,0
transitioned,0,0,1,0,1,0
nearfuture,0,0,1,0,0,0
reallocated,0,0,1,4,0,0
ciitibank,0,0,1,0,0,0
disqualifying,0,0,1,0,0,0
respondent,0,0,3,3,1,0
bona,0,0,3,2,1,0
fide,0,0,3,2,1,0
silent,0,0,3,3,5,1
qui,0,0,2,0,0,0
tacet,0,0,2,0,0,0
consentire,0,0,2,0,0,0
videtur,0,0,2,0,0,0
implies,0,0,2,4,1,1
estoppel,0,0,1,3,0,1
reselling,0,0,1,0,1,0
ithout,0,0,1,0,0,0
assumpsit,0,0,1,0,0,0
declaratory,0,0,1,3,1,1
re,0,0,1,2,0,0
judicata,0,0,1,0,0,0
initio,0,0,1,0,0,0
barring,0,0,1,2,0,1
defence,0,0,1,0,0,0
intimated,0,0,1,0,0,0
wasteful,0,0,1,0,0,0
onus,0,0,1,2,0,0
interset,0,0,1,1,0,0
mortified,0,0,1,2,0,0
sbeen,0,0,1,0,0,0
utilzation,0,0,1,0,0,0
faud,0,0,1,0,0,0
serv,0,0,1,1,1,0
onsite,0,0,1,0,0,4
missings,0,0,1,0,0,0
miscoded,0,0,1,0,0,0
motel,0,0,1,0,2,2
inattention,0,0,1,2,0,0
unprompted,0,0,2,0,0,0
immaterial,0,0,1,1,0,0
reapplies,0,0,1,0,0,0
pertain,0,0,1,3,2,2
trivial,0,0,1,0,1,1
conducive,0,0,1,0,0,0
allready,0,0,1,1,0,1
itwas,0,0,1,0,0,0
thison,0,0,1,0,0,0
accountnumber,0,0,1,0,0,0
kepttelling,0,0,1,0,0,0
allalong,0,0,1,0,0,0
thinkthat,0,0,1,0,0,0
ppay,0,0,1,0,0,0
butwhen,0,0,1,0,0,0
witha,0,0,1,0,0,0
bmy,0,0,1,0,0,0
responseible,0,0,1,0,0,0
predates,0,0,1,0,0,0
deluged,0,0,1,0,0,0
irritation,0,0,1,1,1,0
soliciation,0,0,1,0,0,0
mycredit,0,0,1,0,0,2
doe,0,0,1,0,7,2
snot,0,0,1,0,0,0
rong,0,0,1,0,0,2
catn,0,0,1,0,0,0
cusotmer,0,0,1,0,0,0
moreplease,0,0,1,0,0,0
yuour,0,0,1,0,0,0
welli,0,0,1,0,0,0
scriptsalso,0,0,1,0,0,0
dolar,0,0,1,0,0,0
mcsonalds,0,0,1,0,0,0
communicat,0,0,1,0,0,0
effectivelynot,0,0,1,0,0,0
inssist,0,0,1,0,0,0
reclassifed,0,0,1,0,0,0
prisoner,0,0,2,0,0,0
illustrate,0,0,1,1,1,0
cartridge,0,0,1,0,0,0
servicesxx,0,0,1,0,0,0
refound,0,0,2,0,0,0
xxxxnever,0,0,1,0,0,1
emphasized,0,0,1,1,0,0
prolonged,0,0,1,7,0,0
ove,0,0,1,0,2,0
dat,0,0,1,0,1,0
tha,0,0,1,3,0,0
relocate,0,0,1,6,1,0
aintains,0,0,1,0,0,0
collaboration,0,0,1,1,0,0
ffices,0,0,1,0,0,0
favorably,0,0,1,1,0,0
deport,0,0,1,0,0,0
firmxxxx,0,0,1,0,0,0
visitor,0,0,2,0,0,0
realise,0,0,1,0,0,0
buisness,0,0,1,1,0,0
dubious,0,0,1,1,0,0
cohen,0,0,1,0,1,0
ltd,0,0,1,0,2,0
acctount,0,0,1,0,0,0
nonprofit,0,0,1,1,1,0
naively,0,0,1,0,0,1
rearranged,0,0,1,0,0,0
summed,0,0,1,0,1,0
prediction,0,0,1,0,0,0
science,0,0,1,0,0,1
invention,0,0,1,0,0,0
attributing,0,0,1,0,0,0
trailing,0,0,3,0,0,0
hyperlink,0,0,3,0,0,0
seamlessly,0,0,1,0,0,1
subsite,0,0,1,0,0,0
inbetween,0,0,1,0,0,0
mater,0,0,1,1,1,2
undeposited,0,0,1,0,0,0
frugal,0,0,1,0,0,0
loathing,0,0,1,0,0,0
risen,0,0,1,6,1,0
omaha,0,0,1,1,1,0
paymetn,0,0,1,0,0,0
facta,0,0,3,0,6,6
airway,0,0,2,0,0,0
racking,0,0,1,0,1,0
retracting,0,0,1,0,0,0
anoter,0,0,1,0,0,0
buried,0,0,1,5,0,0
specialst,0,0,1,0,0,0
arounds,0,0,1,0,1,0
hared,0,0,1,0,0,0
aided,0,0,1,1,0,0
abetted,0,0,1,1,0,0
bail,0,0,8,6,5,0
recognizance,0,0,1,0,0,0
oversees,0,0,1,1,1,2
consult,0,0,2,0,4,2
repository,0,0,1,0,4,4
advisable,0,0,1,0,2,1
swapped,0,0,1,0,0,0
pg,0,0,1,5,1,2
onxxxx,0,0,1,4,1,1
pgs,0,0,1,5,0,0
itmes,0,0,1,0,0,0
comprehension,0,0,1,0,1,1
amiable,0,0,1,0,1,0
thrifty,0,0,2,0,0,1
occaisional,0,0,1,0,0,0
scratching,0,0,1,0,0,0
smoke,0,0,1,2,0,1
provocation,0,0,1,0,0,0
nob,0,0,1,0,0,0
descript,0,0,1,0,1,0
subjecting,0,0,1,0,0,0
disgust,0,0,1,1,0,0
recounted,0,0,1,1,0,0
meticulous,0,0,1,0,0,0
appealable,0,0,1,0,0,0
untruthful,0,0,1,3,2,1
eats,0,0,1,1,0,0
contravention,0,0,1,1,0,0
associating,0,0,1,0,0,0
identityhas,0,0,1,0,0,0
developing,0,0,1,1,0,0
xxxxxxxxdollars,0,0,2,0,0,0
baclays,0,0,1,0,0,0
methodology,0,0,2,1,0,1
depicted,0,0,2,1,0,0
exampled,0,0,1,0,0,0
bt,0,0,5,0,0,0
lion,0,0,1,0,0,0
probelm,0,0,1,0,0,0
abate,0,0,1,0,0,0
ethically,0,0,1,3,1,0
addres,0,0,1,0,0,0
shoping,0,0,1,0,0,0
xxxxfl,0,0,1,0,0,0
alienated,0,0,1,0,0,0
regardsxxxx,0,0,1,0,0,0
xxxxdated,0,0,1,0,0,0
usuriousness,0,0,1,0,0,0
cumulative,0,0,1,0,0,0
dun,0,0,1,0,2,0
fidelity,0,0,5,1,8,1
amateur,0,0,1,0,0,0
centurian,0,0,1,0,0,0
plantiff,0,0,1,1,0,0
oc,0,0,1,0,0,0
custodian,0,0,1,0,6,0
mire,0,0,1,0,0,0
studied,0,0,1,0,1,0
invoking,0,0,1,0,2,0
systematic,0,0,1,3,0,0
commenity,0,0,3,0,1,0
xxxxvisa,0,0,3,0,0,0
abrupt,0,0,1,1,0,0
smeared,0,0,1,0,1,0
interpreted,0,0,1,4,3,1
proficient,0,0,1,0,0,1
penal,0,0,1,0,0,0
contesting,0,0,2,0,5,1
theives,0,0,1,0,0,0
infused,0,0,1,0,0,0
apy,0,0,1,1,0,0
shorter,0,0,2,3,0,0
spotty,0,0,1,0,1,0
plummet,0,0,1,0,2,0
sb,0,0,1,1,0,0
sneakily,0,0,1,0,0,0
readable,0,0,1,2,0,0
legalistic,0,0,1,0,0,0
fraududlently,0,0,1,0,0,0
horizon,0,0,1,0,0,1
gregg,0,0,4,0,0,0
balnce,0,0,1,0,0,0
acrued,0,0,1,1,1,0
dissappointing,0,0,1,0,0,0
corroborates,0,0,1,0,0,0
maid,0,0,1,0,1,1
psychologically,0,0,1,0,0,0
captitalone,0,0,1,0,0,0
mastercards,0,0,1,0,0,0
mastecard,0,0,1,0,0,0
captialone,0,0,1,0,0,0
marriott,0,0,1,0,0,0
haunted,0,0,1,0,0,0
havign,0,0,1,0,0,0
mbps,0,0,2,0,0,0
dandy,0,0,1,0,0,0
hmy,0,0,1,0,0,0
penalizdd,0,0,1,0,0,0
interjection,0,0,1,0,0,0
disapproved,0,0,2,4,0,0
implore,0,0,1,2,0,1
derives,0,0,1,0,0,0
suck,0,0,1,2,1,1
demonstration,0,0,1,0,0,0
continuance,0,0,1,3,2,0
obsolete,0,0,2,0,1,5
validates,0,0,1,0,1,0
dofd,0,0,12,0,3,7
define,0,0,1,3,2,0
chargeoff,0,0,3,1,0,1
antedate,0,0,1,0,0,0
commencement,0,0,1,1,0,0
obsolescence,0,0,1,0,2,0
eo,0,0,1,0,0,0
publisher,0,0,1,0,0,0
differs,0,0,1,1,2,0
revoke,0,0,1,2,1,0
fraudentally,0,0,1,0,0,0
straightening,0,0,1,0,0,0
unimpaired,0,0,1,0,0,0
underlying,0,0,1,2,1,1
ninety,0,0,1,2,0,0
punishes,0,0,1,0,0,0
obeyed,0,0,1,1,0,0
nauseam,0,0,1,1,0,0
reassure,0,0,1,1,0,0
slammed,0,0,1,0,1,1
fleece,0,0,1,0,0,0
gimmick,0,0,1,0,0,0
granter,0,0,1,0,0,0
stubborn,0,0,1,0,0,0
unaccommodating,0,0,1,0,0,0
specialty,0,0,1,1,5,3
lamp,0,0,6,0,0,0
lighting,0,0,1,0,0,0
outdoors,0,0,1,0,0,0
configuration,0,0,1,0,0,0
confounding,0,0,1,0,0,0
scanner,0,0,1,1,0,2
nih,0,0,1,0,0,0
burrow,0,0,1,0,0,0
deviate,0,0,1,2,0,0
movie,0,0,1,0,4,0
readjustment,0,0,1,0,0,0
anoticd,0,0,1,0,0,0
nat,0,0,1,0,1,0
ophrys,0,0,1,0,0,0
transferor,0,0,1,2,0,0
bassis,0,0,1,0,0,0
flexperks,0,0,1,0,0,0
flexpoints,0,0,3,0,0,0
factually,0,0,1,1,0,1
ascam,0,0,1,0,0,0
americard,0,0,1,0,0,0
freshman,0,0,1,1,0,0
jumble,0,0,1,0,0,0
nore,0,0,1,0,1,1
skymile,0,0,5,0,0,0
discarge,0,0,1,0,0,0
churning,0,0,2,2,0,0
ppc,0,0,1,0,0,0
patd,0,0,1,0,0,0
balancs,0,0,1,0,0,0
xxxxtakes,0,0,1,0,0,0
collusion,0,0,0,2,3,3
doubling,0,0,0,7,0,1
foreclosing,0,0,0,56,2,0
conduction,0,0,0,1,0,0
reorganize,0,0,0,1,0,0
reorganization,0,0,0,2,0,0
catered,0,0,0,1,0,0
unpunished,0,0,0,1,0,0
discouragement,0,0,0,1,0,0
happiness,0,0,0,1,1,0
placement,0,0,0,3,6,0
shuewww,0,0,0,1,0,0
trailer,0,0,0,5,0,0
greentree,0,0,0,120,0,0
tunnel,0,0,0,2,0,0
bto,0,0,0,1,0,0
mismanangement,0,0,0,1,0,0
loses,0,0,0,2,0,0
securitized,0,0,0,11,1,0
eviction,0,0,0,35,9,13
homestead,0,0,0,19,2,0
credibility,0,0,0,3,2,1
adjustable,0,0,0,36,1,1
consummation,0,0,0,4,0,0
citimortgage,0,0,0,128,0,0
reiceve,0,0,0,1,0,0
finially,0,0,0,1,0,0
underwritier,0,0,0,1,0,0
foreclouser,0,0,0,1,0,0
incompentent,0,0,0,1,0,0
fha,0,0,0,198,1,12
unapplied,0,0,0,63,0,0
collaborates,0,0,0,1,0,0
fallacy,0,0,0,2,0,0
collaborated,0,0,0,1,1,0
idly,0,0,0,2,0,0
hud,0,0,0,203,5,3
mha,0,0,0,13,0,0
credability,0,0,0,1,0,0
roundpoint,0,0,0,115,0,0
stilling,0,0,0,1,0,0
benefice,0,0,0,1,0,0
shellpoint,0,0,0,52,0,0
ceived,0,0,0,1,0,0
anxious,0,0,0,7,5,0
examines,0,0,0,1,0,0
hamp,0,0,0,256,1,1
fustrating,0,0,0,1,0,1
imformations,0,0,0,1,0,0
meed,0,0,0,1,0,0
dend,0,0,0,1,0,0
resive,0,0,0,1,0,0
crunch,0,0,0,1,1,0
unstable,0,0,0,3,0,0
impound,0,0,0,28,4,0
townhome,0,0,0,4,1,0
linear,0,0,0,6,0,0
therefor,0,0,0,2,4,3
untouched,0,0,0,1,1,0
unnatural,0,0,0,1,0,0
confided,0,0,0,1,1,0
sterus,0,0,0,1,0,0
seterus,0,0,0,292,3,1
divison,0,0,0,1,0,0
expeditiously,0,0,0,3,1,1
forbearance,0,0,0,78,1,19
bayview,0,0,0,128,31,0
myloan,0,0,0,2,0,0
itis,0,0,0,2,0,0
loanservicing,0,0,0,1,0,0
appropriatedocumentation,0,0,0,1,0,0
privateinsurance,0,0,0,1,0,0
xxxxxxxxthis,0,0,0,1,1,0
ahigher,0,0,0,1,0,0
annualescrow,0,0,0,1,0,0
escrowaccount,0,0,0,1,0,0
taxbill,0,0,0,1,0,0
amcurrently,0,0,0,1,0,0
phoneconversation,0,0,0,1,0,0
wasreturned,0,0,0,1,0,0
theabove,0,0,0,1,0,0
throughand,0,0,0,1,0,0
wrongdoing,0,0,0,9,1,0
hault,0,0,0,1,0,0
reinvestigate,0,0,0,2,3,23
enclosure,0,0,0,11,1,0
amou,0,0,0,1,0,0
cate,0,0,0,1,0,0
statebridge,0,0,0,23,1,0
acquasition,0,0,0,1,0,0
introducing,0,0,0,2,0,0
recited,0,0,0,1,1,2
inferred,0,0,0,2,0,0
applauded,0,0,0,1,0,0
orgination,0,0,0,1,0,0
statebride,0,0,0,1,0,0
flattered,0,0,0,1,0,0
numbersand,0,0,0,1,0,0
punctuation,0,0,0,1,0,0
pr,0,0,0,2,6,2
wholeheartedly,0,0,0,1,0,0
htis,0,0,0,1,0,0
qwr,0,0,0,65,0,0
fc,0,0,0,2,0,0
ncua,0,0,0,2,0,0
mtge,0,0,0,4,0,0
woudl,0,0,0,2,0,0
ttherefore,0,0,0,1,0,0
thye,0,0,0,2,0,0
suspense,0,0,0,94,0,0
falf,0,0,0,1,0,0
specifies,0,0,0,4,0,1
efficiently,0,0,0,3,0,0
rehab,0,0,0,7,4,1
dumped,0,0,0,1,1,0
complicates,0,0,0,1,0,0
awning,0,0,0,2,0,0
obstacle,0,0,0,7,1,0
zoning,0,0,0,4,0,2
pest,0,0,0,3,1,0
vinyl,0,0,0,3,0,0
downspout,0,0,0,1,0,0
tighten,0,0,0,1,0,0
foundation,0,0,0,11,0,0
insect,0,0,0,1,0,0
rodent,0,0,0,1,0,0
congressional,0,0,0,3,0,5
appropriation,0,0,0,1,0,0
urban,0,0,0,8,0,0
simplify,0,0,0,4,0,0
iv,0,0,0,4,2,1
auditable,0,0,0,1,0,0
claimable,0,0,0,2,0,0
grouping,0,0,0,1,1,0
authentic,0,0,0,5,8,0
fdpa,0,0,0,1,0,0
crumbling,0,0,0,1,0,0
sps,0,0,0,310,47,0
draught,0,0,0,1,0,0
flooded,0,0,0,5,1,0
booster,0,0,0,1,4,0
unmarried,0,0,0,1,0,0
withstand,0,0,0,1,0,0
thrust,0,0,0,1,0,0
insued,0,0,0,1,0,0
pat,0,0,0,1,2,0
citywide,0,0,0,3,0,0
uneducated,0,0,0,2,0,1
elend,0,0,0,4,0,0
harp,0,0,0,86,0,0
subordinate,0,0,0,4,3,0
npv,0,0,0,17,0,0
chl,0,0,0,20,0,0
underwritten,0,0,0,6,0,0
vaguely,0,0,0,3,2,0
ascribes,0,0,0,1,0,0
arrearages,0,0,0,11,0,0
