ID,Datum_ontvangst,Product,Omschrijving,Antwoord_bedrijf
1348527,2023-04-27,Bankrekening,SOMEONE CLONED MY DEBIT CARD INCLUDING MY PIN # AND USED IT AT XXXX IN XXXX FL ON XXXX/XXXX/2015 FOR XXXX AND XXXX MIN LATER THEY CHARGE XXXX I FILED A POLICE REPORT WITH XXXX POLICE XXXX. CASE # XXXX BUT THEY TOLD ME THEY DID N'T HAVE ENOUGH PEOPLE TO REVIEW XXXX FILMS. REGIONS BANK IS RELUCTANT TO REFUND MY MONEY SO IN THE FUTURE I WILL NEVER USE PLASTIC AGAIN. GO TO XXXX AND SEARCH HOW TO CLONE A CARD AND LEARN HOW EASY IT IS.,Closed with monetary relief
1925499,2024-05-15,Bankrekening,"I closed out my bank account over 3 years ago. At that time I turned in my keys to my safe deposit box. They continually send me bills for the safe deposit box that I do n't have and closed out correctly. The bills have added up to {$240.00}. 
I do n't owe this and contacted them in writing several times only to be ignored. 
My name is XXXX XXXX XXXX XXXX XXXX , XXXX , XXXX XXXX. The Bank is Bank of America, XXXX XXXX XXXX, XXXX, XXXX XXXX. 
XXXX XXXX XXXX My email is XXXXXXXXXXXX",Closed with explanation
2102040,2024-09-08,Bankrekening,"CHASE USING XXXX I deposit a check on XXXX/XXXX/2016 and Chase decided to put a hold until XXXX/XXXX/2016 when the check was from the same institution, yet on the XXXX/XXXX/2016 received confirmation from the check issuer proof that the check was cash and clear their account. 
I find this very deceiving not a good business practice.",Closed with monetary relief
2054114,2024-08-09,Bankrekening,In XXXX XXXX I received a notice in the mail stating that I would be able to earn up to XXXX XXXX XXXX XXXX by opening up a Citigold account. That month after I opened the account I sent them an e-mail that confirmed that they had applied the promotion to the account and they were waiting for me to fulfill the requirements. In XXXX XXXX I sent an e-mail to get an update on the promotion. Citibank stated that my requirements were completed and that I should wait until XXXX to see the points applied to my account. As of today I have n't seen any points and citibank refuses to respond to me.,Closed with non-monetary relief
1786895,2024-02-13,Bankrekening,"on XXXX XXXX at XXXX I visited the XXXX location of Bank of America to place a {$150.00} cash loan payment in my sister 's checking account. The parking lot had an armed guard dressed in "" swat '' gear which was alarming. I tried to go through the drive through and found all of them closed with cars parked in their lanes. I was pressed for time as i work XXXX jobs and was trying to get this deposit done so it would post quickly and so i would not miss time off my job running this errand. I asked for a checking account deposit slip and filled it out. I asked the teller "" why are all your drive throughs closed and what is the deal with the armed guard in your parking lot? "" .. "" Oh because we are so close to the interstate we have additional security ... I found that odd as my own personal bank XXXX, is just down the same road and has no demonstrable need for such additional security features. I told her my sister was in the XXXX on vacation and would be checking to see when my payment to her would post. She asked to see my ID, even though i was wearing a photo ID from the medical laboratory for whom i work part time in the afternoons. I showed her my driver license in my wallet. She asked me to take it out so it could be "" snap-photo 'd '' from an overhead camera. I found this very disturbing and "" invasive '' of my and my sisters privacy. I asked her why she needed the personal information ... she started to mumble about security ... but having read about operation "" choke-point ''. I was familiar with the dept of justice program where banks are being intimidated into not letting customers use cash for their businesses. This was not a business, was not a transaction over {$10000.00} and providing that level of personal information for accepting a {$150.00} deposit i found ridiculous and very poor service to the consumer. I told the young lady who had both the deposit slip and the XXXX {$50.00} bills that i would not be providing any additional photo id or information and turned to leave. She remained in possession of my sister 's {$150.00} cash deposit, provided me no receipt, tried to give me the money back and called the security guard as i exited the door. I got into my car locked the door and left the bank. I verified with my sister that as of close of business on friday XXXX XXXX the funds had not been deposited into the account number given to the teller. My sister made several attempts to contact the bank via phone and via "" private numbers '' given to her by Bank of America without success. No one returned her multiple calls. Once cash money is given to a banking institution a receipt must be provided to the depositor. Funds received by a banking institution should be deposited into the appropriate account number given ( they should not be held out for teller issues or resolution ). Disclosure was not given to me at the time that i could have deposited at an ATM device and would not have had to produce ID to do so. I do not possess a smartfone and therefore have no means to do photo bank deposits. My concern was getting this loan payment to my sister so that she in turn would be able to make her payment on time and not face late charges. This whole situation was very intimidating, disturbing and frightening, not to mention our concern now with the lack of our funds being deposited or credited to my sisters ' designated account. Monday is a holiday. we need action on this.",Closed with explanation
2130595,2024-09-27,Bankrekening,"I used their Bill Pay system on XX/XX/XXXX. The payment never went out so I had to pay a late fee and pay it again a few weeks later. Then when I called today to discuss/investigate - nobody knew who I was. They looked up my account number, nothing. My name, nothing. My zip code, nothing. I have several accounts at this bank and they have chosen to not remember who I am. Finally after an agonizing 30 minutes on the phone, the rep was able to find my account ( what a miracle ) and then denied that I ever made the payment. I have learned today that BofA is not training their people as well as not paying payments that I instructed them to do.",Closed with monetary relief
1582954,2023-09-28,Bankrekening,"I am XXXX XXXX XXXX, a XXXX XXXX with XXXX serviceconnected XXXX. Chase bank for over a year drafted my Checkingaccount {$170.00} for my Condo Association fee. I was notified XXXX that for the last three months the bank has not paid as orderedon the first of the month, the bank changed the draft date ( withoutmy authorization ) to the XXXX, of the month, on that date there is notfunds in my account to cover the expense. The bank refuses to pay and Iincur an over draft fee of {$35.00}. I recently received notice from myCondo Association that I now have a lean on my property for $ XXXX. The bank refuses to correct THEIR MISTAKE and rectify thethe bounce check charge, the lean on my property and other nowchecks due to Chase Bank mistake.",Closed with explanation
2292774,2025-01-17,Bankrekening,"My checking accounts at Trustmark Bank have been compromised. A great deal of money has been stolen from each account. There are multiple debit card transactions that are inconsistent. There are also internet banking accounts that I did not authorize. I never use internet banking. In addition, I strongly believe there are several debit cards that were issued to others without my authorization. I am a victim of Identity Theft. I have a claim/case with the FTC.",Closed with explanation
2105241,2024-09-10,Bankrekening,"I recieved a payment from a client through credit card company ( XXXX ) through XXXX, then went to bank to get money from my account and was told my account is on a hold. I went to my bank branch to ask the reason and they said they could n't verify the creditor and I should wait. I waited for a month and I realized my account has been frozen. I went back to my bank branch and they told me my account is under investigation by the fraud department. I asked again what was the reason and they said they have n't verified the creditor from thier back end. I have been waiting since then and I do n't know what to do.At the moment I 'm living off crumbs and loans from friends and family. Pls advise me on what next action to take.",Closed with explanation
2312619,2025-01-26,Bankrekening,"A vendor erroneously accessed my bank business account, which caused my account to overdraft. Bank charged me with an initial overdraft fee of {$36.00} and subsequently charged an {$8.00} overdraft fee every day, which continues to this date. Called bank and was advised that once funds were returned they would address issue. Went in person to bank and was told I would still be liable for overdraft fees - How could this be so I did n't cause it to overdraft My XXXX questions are how could I be liable for any over draft fee if someone overdrafts my account, admits they should n't have and rerurns funds that caused the overdraft, and secondly - can a bank charge an overdraft fee EVERY SINGLE DAY your account is overdrawn??? that is preposterous",Closed with explanation
1960646,2024-06-08,Bankrekening,"I signed up for a Citigold Checking account from Citi bank after receiving an offer for XXXX AAdvantage Miles if I opened a new account, paid XXXX bills with automated billpay, and spent {$1000.00} with the debit card. I opened the account on XXXX XXXX, XXXX. I satisfied all requirements XX/XX/XXXX and received a secure message via the citibank website on XXXX XXXX from XXXX XXXX stating the following : "" After my review, I confirmed that with the bill payment on XXXX/XXXX/XXXX and your total debit purchase of {$1000.00} being met on XXXX/XXXX/XXXX ; all promotional requirements have been met. To set your expectations, the miles are automatically credited 90 days from the end of the statement cycle in which the requirements were completed. I was able to calculate that the miles will be credited to your AAdvantage member account by XXXX/XXXX/XXXX. Please keep the promotion code on file for reference, and in case they do not post with the XX/XX/XXXX statement, please send us a message with the code so we may research it further. '' My points had not posted by XX/XX/XXXX so I sent them a secure message on XXXX XXXX to ask when my points would post. I first received a message back on XXXX XXXX saying Citi bank would look into the matter. I received another message on XXXX XXXX stating the following : "" Unfortunately, you are not eligible for this XXXX miles promotion ( XXXX ). While Citi does offer XXXX miles promotions at times, this offer is available only to targeted Citi card members who received the offer via a direct communication from Citi. Our records show you are not a targeted client. '' This directly contradicts the fact that I received the promotion code. I have screen-shots saved from my account sign-up process to prove it.",Closed with non-monetary relief
1419051,2023-06-12,Bankrekening,"I am contacting you about XXXX overdraft fees that were placed on my First National Back checking account. I contacted the costumer service department on XXXX XXXX about these fees and was told that someone will contact me about them. No one has contacted me at all. 
On XXXX XXXX 2015 my account balance was {$13.00}. I also deposited a check for {$15.00} on XXXX XXXX which was a XXXX so I knew it would not clear until the following XXXX. I spent {$8.00} with my debit card on XXXX XXXX at a XXXX gas station. The bank is telling my that the XXXX purchase overdrew my account because that purchase was pre authorized for {$20.00}, which I did n't have in my account so it overdrew. I did not spend {$20.00} I spent {$8.00} which I did have enough to cover. XXXX other transactions after that got overdraft charges put on them after this. 
This is not the XXXX time I have had problems with this bank. I filed a complaint a while back and the took off the fees. I am asking that the XXXX overdraft fees totaling {$110.00} be returned to my account. 

Thank You",Closed with monetary relief
1412709,2023-06-09,Bankrekening,"I had an account with US Bank. Because of the many customer service issues I had with the bank I decided to close my account. I made sure that all pending transactions were covered before closing the account and withdrew my money out of the account. My account does not even exist when I log into US Bank. A few days ago, I received a letter from XXXX XXXX XXXX, stating that they were collecting a debt on behalf of US Bank in the amount of $ XXXX.When I called US Bank 's customer service and explained the situation, the CSR informed me that there was a write off amount associated with my account but she could not see how much it was or where the charge was coming from. She referred me to their accounts recovery number. I called the number she gave me and was told that the recovery department only took payments and that she could not look into my account. She told me that I should go to the bank where I closed my account and speak with them.I went to the branch today and spoke with one of the bankers there. I explained the situation, and after much discussion, was referred to her manager. The manager explained to me that he could not help me because it had already gone to collections. He said, "" It was out of his hands ''. He went on to tell me that I should, "" look on the bright side. It 's only {$47.00} '' I exclaimed that I did not want to hear his excuses and he immediately walked me out the door.",Closed with explanation
2055632,2024-08-10,Bankrekening,"In XXXX / XXXX of XXXX, I began to have payments debit automatically out of my Charles Schwab account for a vehicle loan I have with XXXX. I have paid this loan on-time for close to 36 months now.. Without notice or explanation, Charles Schwab stopped making those payments in XXXX of XXXX despite adequate funds to cover the payment. I subsequently was charged late fees and, more importantly, had my credit report damaged by the late payment. When I contacted Schwab, they said that the system must have set XXXX as the stop date in error. Once I asked them to provide a letter to XXXX XXXX so that my credit could be corrected, they changed their story and said that I had erroneously set up the account to stop payments in XXXX XXXX, even though the loan has payments through XXXX. I set up the payments to terminate upon the loan 's termination, not in XXXX of the preceding year. The loan is n't even due in XXXX of XXXX, so there is no reason to select XXXX as a termination date. The representative said that it was a "" legal issue '' surrounding admitting to mistakes and offered to pay the late fees for me. The result of Schwab 's refusal to correct the issue is that my husband 's credit has dropped by over XXXX points. We are applying for a loan for a new home, and Schwab 's error is going to cost us thousands in additional interest expense, assuming that we even qualify for a loan any more. Outside of the late payment for XXXX, his credit is clean and used to be in the high XXXX 's.",Closed with explanation
1296434,2023-03-23,Bankrekening,The attached letter to the XXXX of the Bank of America gives an actual account of my recent interaction with the bank. The bank should not be allowed to change the terms of my accounts with them at will and charge me fees at will,Closed with explanation
2100208,2024-09-07,Bankrekening,On XXXX we went to an pnc bank to withdraw money to put on our prepaid card to reload we gave them XXXX from child support card but the bank atm a XXXX XXXX XXXX XXXX said transaction could not be completed and if took our money since then we spoke to a XXXX XXXX on the third and she said she cant help us that day but call back we then called her got on three way with netspend the company we use for the reload and they told XXXX that since the transfer did n't reach thenm and they have no record of it that they need to return the money to us and that they do not give perfisinal credits everday we have call ed and tried to get our money back they have not done so then they said can we sen a chashier check to your bank have them request the funs after they have already explained they could not we have called everyday to get our money nothing we do have the reference number is XXXX XXXX we want our money back and yes they do have it in their system it took out money,Closed with explanation
2371784,2025-03-04,Bankrekening,"I feel that Paypal has deceived me about their service because of 1 ) very limited, contradictory and poor information on their website. 2 ) customer service agents who stonewall, repeat provably incorrect information and contradict each other 3 ) repeated failures to respond or follow up with a response 4 ) claims that you can access your money by following various steps only to discover the money is still "" on hold. ''",Closed with non-monetary relief
2262133,2024-12-24,Bankrekening,Wells Fargo has been allowing my checking account to be debited {$9.00} per month for approximately ten years and this was unauthorized. I am concerned they are involved in a fraud.,Closed with monetary relief
2047240,2024-08-04,Bankrekening,"On XXXX XXXX, 2016 XXXX XXXX XXXX, Executor of the XXXX County Florida Estate of XXXX XXXX deposited {$40000.00} into USAA checking account # XXXX from the account of the Estate of XXXX XXXX at XXXX XXXX XXXX. The purpose of the deposit was to use most of the funds to pay me for my 14 months of consulting services, expenses, travel and loans to XXXX XXXX at his pleading in successful pursuit of his claim as beneficiary of the contested handwritten Will written just prior to XXXX XXXX XXXX. 
The deposit was made via photo image in telephone consultations with a USAA representative. XXXX XXXX authorized direct payment of my credit cards totalling {$26000.00}, Additionally he issued USAA check # XXXX dated XXXX XXXX, 2016 for {$9600.00} for a combined total of {$36000.00}. Credit Card payments : XXXX : {$990.00} paid XXXX/XXXX/16 XXXX XXXX : {$1400.00} paid XXXX/XXXX/16 conf code XXXX XXXX : {$8800.00} paid XXXX/XXXX/16 trans XXXX XXXX : {$3600.00} paid XXXX/XXXX/16 XXXX : {$4500.00} paid XXXX/XXXX/16 XXXX : {$3300.00} paid XXXX/XXXX/16 XXXX : {$1800.00} paid XXXX/XXXX/16 XXXX XXXX : {$1600.00} paid XXXX/XXXX/16 On XXXX/XXXX/16 all credit card payments were rescinded by USAA without notice to me. Dishonoring an item properly payable is a violation of XXXX also bringing responsibility for consequential damages proximately caused The check was deposited at XXXX XXXX on XXXX/XXXX/16. It was returned as "" unauthorized '' on XXXX/XXXX/16. 
XXXX XXXX will not return my calls. My demand letter to USAA 's legal department resulted in a call from a representative named XXXX XXXX @ ( XXXX ) XXXX. On XXXX/XXXX/16 she informed me that XXXX XXXX claims the payments were not authorized. That closed the matter for USAA without further details due to legal privacy considerations. 
Clearly the payments were authorized or USAA would not have paid them initially. XXXX XXXX changed his mind 3-4 weeks after final payments were made under his authorization. If USAA investigated in any meaningful way it did not include contacting me to hear my side of the story before taking such a drastic and harmful step. 
Regarding the stop on the check I do not believe it was in compliance with UCC 6A4-403 or confirmed in writing within 14 calendar days as required. This is not only a breach of the contract represented by the signed check but a criminal offense of obtaining money/services under false pretenses. 
My remedy is reinstatement of the credit card payments, payment of the check, payment of proximately caused interest, late fees, emotional distress and damage to my credit rating.",Closed with explanation
2245556,2024-12-13,Bankrekening,"This concerns Citibank and their response to fraudulent charges made to our account on a debit card. We saw charges to XXXX that we did not authorize, called Citibank immediately, and the charges were appropriately removed. About two weeks later, we saw those charges re-appear on our account, with an additional new charge, and no description whatsoever. When we contacted Citibank, after over two hours of conversation with various staff and being forwarded multiple times, we were told that the dispute had been refused. We had been given no notice of the refusal, no notice that the charges were again being placed against our account, and no information on what information XXXX had provided to assure Citibank that we had indeed authorized the charges. On the phone, Citibank was completely unable to provide us with any information as to why the dispute had been resolved in the way it had, as to why they now believed the charges to have been unauthorized, and admitted that they had sent us no notification as to the resolution of the dispute, as to the re-charging of the funds to our account, nor any opportunity to respond to the findings. We did not in any way authorize these charges to XXXX, Citibank did not follow proper notification to us, and XXXX ( group number XXXX ) stated that they could not credit the funds back to us pending our request that the decision be appealed. So, we were the victims of debit card fraud, the fraud was found to not be authenticated for reasons that are completely unknown to us, we were not given any notification of this decision, and charges ( including a new charge that we had never seen before ) re-appeared on our bank account with no description or warning whatsoever. Fortunately, we had enough funds in our account to not overdraw any bills, but that could have easily happened otherwise. Upon calling Citibank, they were unable to justify their decision, provide any explanation whatsoever, nor could they refer us to someone who could provide information. They acknowledged we received no notification, and that we were entitled to an explanation but that they could not provide one. As far as we are concerned, Citibank ( and XXXX ) now have financially benefitted from fraud perpetuated in our name and we are being charged for something we did not authorize, did not purchase in any way, and we have been given no reason why this is the case or any information we can use to challenge the decision made by Citibank based on some kind of fraudulent information provided by XXXX. 
We have no idea how to pursue this matter further and feel we should not have to pay for something we did not authorize and should, at the least, have been provided notification and information regarding how Citibank came to this decision and an opportunity to address it. We have filed for an appeal, but Citibank refuses to remove the charges from our account and we are told the appeal process could take many months. In the meantime, they ( and XXXX who we will never use in the future ) have our money without our intent or authorization. 
We 've had many problems with Citibank, especially their fraud division, but this was by far the worst.",Closed with explanation
1803845,2024-02-25,Bankrekening,"I have an account with WellsFargo. I have been client for many, many years. One day, out of the blue, when trying to place a transfer online, my money is frozen. I call the contact center and they told me that my account has been blocked, that they needed some additional personal information to unlock it. I answered their questions and they say they would process accordingly. A week later, still no access to my money. Called again, they say the needed more time. 

I can not believe that WellsFargo can just take me out of accessing my money, just because of and "" intern process '' ... .still not indication on when could transfer money out of my account ...",Closed with explanation
2224623,2024-11-28,Bankrekening,"On or about XX/XX/2016 I applied for refinancing on two of my properties at Wells Fargo bank, after the initial interview from the loan XXXX he requested and authorized Appriasels on both properties at a combined cost of appr {$1500.00} for both, after the valuation came in my loans where denied based on income, debt ratio, I requested a a refund on the money spent for the appraisals after Wells Fargo sent me a letter that they wanted to redeem themselves by refunding money customers spent on unnecessary services, I contacted Wells Fargo representatives starting in XX/XX/2016, after several calls to and from myself to them, and them to me, it appears no progress has been done.i need some direction as to how to proceed with this, your time and consideration in this matter is greatly appreciated.",Closed with explanation
