token,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
include,124,100,197,577,347,315
californ,1,0,0,0,0,0
ia,3,1,2,6,3,1
commercial,6,2,6,4,17,14
code,116,4,33,51,75,48
section,18,14,22,101,117,296
insurance,103,170,61,1154,372,103
write,204,113,247,559,492,316
letter,392,319,669,1928,1789,1181
payor,3,2,1,1,0,0
entitle,15,4,21,47,22,40
claim,469,130,294,631,840,292
ban,3,0,2,8,2,2
th,7,8,6,41,18,11
improperly,2,4,4,18,7,12
deny,196,58,201,617,112,159
basis,17,13,21,70,41,15
purported,1,0,2,3,18,1
unlawful,12,1,6,23,40,9
power,28,3,25,58,16,20
attorney,90,61,74,703,442,135
denial,12,10,29,176,5,27
unfair,54,30,80,119,71,35
fraudulent,186,46,210,149,200,386
practice,139,90,179,282,402,121
meaning,4,2,2,8,3,2
profession,1,0,0,5,2,0
assist,51,30,44,167,39,43
steal,152,24,79,101,85,81
californi,1,0,0,0,0,0
probate,19,2,2,21,2,0
ower,1,0,0,2,0,0
legally,13,11,12,60,56,68
sufficient,19,6,9,55,17,19
acknowledge,34,22,57,142,79,29
notary,6,2,1,44,20,3
public,38,10,19,37,49,181
sign,198,137,234,693,364,236
lea,1,0,0,0,0,0
st,9,10,5,76,16,10
witne,1,0,0,0,0,0
sse,1,0,0,0,0,0
purport,5,0,0,11,41,9
honor,81,25,69,93,23,37
notarized,8,7,5,19,15,13
witness,7,4,4,16,10,2
califo,1,0,0,0,0,0
rnia,1,0,0,0,0,0
ineffective,2,0,0,1,2,1
violate,24,29,55,130,220,134
califor,1,0,0,0,0,0
nia,1,0,0,0,0,0
fail,108,48,130,388,261,236
exercise,9,4,3,24,9,10
ordinary,2,0,6,2,0,0
care,84,71,143,224,160,77
pay,853,1317,2004,3611,2781,1175
take,459,315,372,939,548,254
refuse,304,169,347,669,603,465
try,347,221,427,1257,989,538
persuade,3,1,2,2,1,0
return,386,150,353,558,391,139
money,1314,266,381,1105,683,168
year,485,318,635,2141,1127,860
admit,35,7,36,104,69,27
name,54,17,49,128,177,103
despite,62,31,127,170,109,76
promise,93,36,136,180,65,29
hold,365,65,257,498,217,112
resolve,204,93,254,365,314,270
billing,20,14,190,49,169,54
issue,538,239,686,960,449,506
dispute,217,163,575,275,1228,2273
open,765,73,463,143,389,473
give,373,207,383,784,600,293
reason,216,66,248,338,170,154
usaa,131,42,75,35,15,0
phone,434,323,599,975,1672,361
number,596,242,646,809,1788,774
attempt,173,90,221,535,778,244
automate,21,8,36,49,43,28
system,131,70,190,263,299,202
able,257,114,219,554,264,248
change,267,147,283,765,186,248
information,527,328,645,1430,1784,2569
ssn,12,4,32,18,48,67
birthdate,1,0,0,0,14,0
provide,380,155,465,1189,1084,953
pin,63,0,14,1,4,16
night,34,16,71,35,38,3
security,197,42,129,139,262,329
question,120,50,142,376,216,176
password,22,5,33,18,1,10
new,459,206,440,1089,351,272
appear,71,30,85,179,170,179
texte,1,3,2,2,3,2
service,625,258,775,1089,1098,448
add,92,95,174,356,154,196
primary,16,9,28,108,14,12
mobile,80,5,9,17,13,4
app,39,10,22,10,3,8
establish,33,4,20,65,31,38
android,1,0,1,0,0,1
attach,128,50,138,410,270,333
family,65,42,38,270,216,48
smart,4,0,7,3,12,5
nighmare,1,0,0,0,0,0
begin,77,49,71,317,190,45
fraud,374,61,401,215,285,345
department,297,112,252,410,220,140
aware,59,39,84,144,173,80
allow,212,80,157,379,222,242
notification,60,19,69,113,107,80
remove,164,149,418,385,817,1941
device,13,4,2,3,9,2
profile,16,1,19,4,42,74
ticket,13,7,65,12,29,21
solve,24,1,11,21,9,14
week,272,192,257,736,297,139
access,267,41,142,135,91,163
balance,465,312,1260,613,644,489
place,246,98,209,444,512,309
tell,1491,762,1550,2885,2188,755
lock,41,16,19,184,11,34
checking,496,36,83,76,50,23
saving,239,13,27,52,19,10
stick,7,17,22,17,6,2
moment,14,5,10,16,21,2
way,208,92,227,417,234,178
payroll,20,4,1,4,14,1
reporting,35,94,125,164,408,896
period,81,48,144,313,97,106
temporarily,9,2,4,8,3,8
refund,264,83,295,289,83,42
investigation,167,29,143,103,104,478
currently,34,45,40,230,114,85
military,21,13,6,35,18,12
have,135,90,149,322,144,131
similar,23,13,33,45,51,27
situation,146,113,140,354,160,83
personally,18,6,13,28,39,30
know,373,260,421,939,883,429
adult,3,1,3,2,9,6
son,82,21,19,83,117,32
long,203,105,201,468,254,227
live,79,30,73,270,302,222
hit,43,21,49,50,30,28
want,386,236,484,1026,683,391
answer,137,82,170,470,372,112
thursday,29,8,2,21,15,3
stop,172,114,164,362,659,79
stress,17,12,14,73,26,14
good,126,104,276,419,171,182
weekend,22,4,16,17,21,5
report,457,684,936,1068,3190,6414
police,164,17,52,15,171,167
alert,72,16,66,39,60,195
credit,1017,1229,4716,1911,4403,7152
right,159,108,184,514,502,365
sure,87,52,119,215,176,97
trust,87,8,16,281,66,18
float,2,0,0,3,1,0
unknown,17,12,16,38,57,41
work,265,238,273,1146,830,196
computer,43,15,78,53,30,39
large,58,20,59,72,29,16
corporation,26,24,13,61,47,7
feel,166,121,201,412,200,109
data,10,1,12,9,32,20
breech,2,1,0,4,7,0
involve,31,21,32,109,61,36
authority,12,10,23,78,44,27
huge,21,6,17,44,13,13
problem,265,106,216,435,146,194
people,136,89,144,333,270,129
compromise,26,0,35,11,15,21
deprive,2,0,3,7,5,0
income,68,56,62,616,101,38
continue,167,151,239,667,734,339
disappear,16,0,11,4,1,13
direct,199,24,66,118,97,56
payment,608,1977,2367,6984,1723,838
addition,43,32,55,149,101,58
incapacity,1,0,0,0,0,0
secure,57,27,58,99,27,23
massively,1,0,0,0,1,0
mature,6,5,0,24,1,1
trivialize,1,0,0,0,0,0
failure,29,9,44,76,39,42
send,559,452,939,2676,2151,1307
email,301,146,434,836,369,181
protection,124,43,107,129,103,59
damage,28,66,85,177,192,127
organization,16,6,14,37,31,11
arrogance,1,0,1,1,1,0
belief,5,2,7,11,11,7
fourth,4,3,5,19,6,6
file,405,171,360,1261,1055,1668
complaint,340,150,362,957,526,516
happen,258,82,213,411,167,138
inch,1,1,0,4,0,0
lose,144,62,117,470,103,59
license,23,17,25,44,114,84
americans,2,0,3,6,4,5
suppose,95,44,74,197,121,110
receive,1024,552,1498,3114,2402,974
whe,1,0,0,0,1,0
federal,136,44,72,270,243,215
government,26,10,23,123,41,45
act,78,51,130,293,466,314
protector,1,0,0,0,0,0
citizen,81,29,45,80,14,6
living,7,1,5,20,8,11
arrogant,1,1,2,5,1,1
destroy,7,2,23,41,27,18
case,250,69,270,547,381,337
ebay,24,3,8,0,0,0
paypal,141,69,120,0,28,0
excellent,12,19,45,32,21,13
standing,23,13,52,48,37,34
early,70,66,93,189,102,54
follow,166,82,188,461,242,327
hello,19,9,21,26,36,32
recently,97,58,133,237,163,157
review,104,65,177,712,139,131
activity,127,13,69,76,101,78
determine,31,13,45,102,42,44
acceptable,12,8,13,33,12,6
use,253,68,350,230,202,114
policy,146,35,95,278,66,56
sale,61,86,53,1353,92,48
offer,275,116,564,829,231,89
jersey,6,5,2,17,6,3
user,24,3,54,7,14,35
result,140,58,166,305,223,315
permanently,7,6,8,11,15,37
limited,13,4,7,12,19,2
appeal,16,5,12,188,18,5
suspend,10,5,19,30,14,6
freeze,63,5,19,21,31,125
month,517,621,1055,2329,790,480
active,26,9,29,71,47,29
feedback,5,4,3,2,4,1
chargeback,8,0,25,0,0,1
understand,119,70,166,301,113,89
choose,37,17,55,70,28,24
incongruent,1,0,0,0,0,0
plead,6,3,3,15,10,1
customer,717,171,778,687,142,155
rep,124,100,196,303,177,66
vise,1,0,0,1,0,0
versa,1,0,0,1,0,0
copy,153,77,200,469,507,568
paste,3,1,4,2,1,2
standard,17,3,20,64,24,23
reply,39,16,67,131,90,72
keep,67,61,99,272,216,104
automatically,42,14,43,61,23,18
withdraw,201,27,23,86,72,24
monthly,149,171,189,814,149,73
invoice,10,3,51,47,96,9
retrieve,27,9,9,11,6,14
wallet,20,1,7,0,0,5
replenish,3,0,0,1,0,0
expense,36,7,22,131,31,18
decision,75,27,57,168,21,30
support,75,9,89,186,95,156
prove,47,26,56,151,177,154
help,359,204,353,1284,356,376
reach,61,40,105,228,160,85
etrade,4,0,0,0,0,0
set,123,61,156,301,145,36
initial,47,20,50,120,84,47
irs,52,6,6,61,16,52
ein,4,1,1,1,0,0
instruction,30,6,32,84,13,14
error,147,62,177,370,124,239
web,33,6,40,31,16,21
site,41,10,78,61,34,61
team,36,10,29,64,23,11
exist,42,14,36,105,79,55
personal,172,98,108,145,312,206
affect,42,36,89,113,101,134
explanation,74,29,66,177,57,36
today,167,104,260,370,292,161
submit,168,66,119,822,284,304
proof,87,62,125,297,542,498
identity,101,38,105,40,393,398
order,236,118,230,428,291,195
transfer,383,84,481,637,227,94
bad,71,35,85,198,111,92
opt,40,8,34,20,5,16
initially,32,14,25,66,36,15
downright,1,0,3,2,2,0
criminal,46,12,12,50,43,16
wait,218,70,151,344,91,75
supply,18,7,33,68,57,60
process,279,132,256,1260,200,227
request,412,263,622,2073,1257,1297
documentation,65,53,97,471,322,340
ve,197,84,166,372,325,269
eta,1,0,0,0,0,0
look,170,103,167,351,275,185
banking,261,18,66,75,21,13
trading,1,0,2,1,0,1
need,507,275,396,1514,712,571
suggest,41,11,32,74,28,23
ago,137,71,155,312,347,212
approximately,64,24,50,144,67,16
consider,42,43,82,202,66,57
variable,4,0,11,14,0,1
rate,74,177,280,929,70,63
citibank,229,6,340,61,49,2
accord,55,39,66,185,121,121
statement,302,176,820,982,432,195
term,82,107,220,341,97,66
equity,27,32,3,305,10,1
source,22,6,18,50,21,68
total,129,151,175,241,144,65
matter,162,85,182,362,355,304
interest,179,458,1043,1044,266,82
vary,5,0,3,12,6,3
strictly,9,0,2,1,2,1
principal,23,81,16,581,23,5
hardly,1,1,1,8,1,2
decrease,3,12,30,42,8,17
go,715,375,545,1505,728,436
ahead,16,20,24,63,28,10
base,74,47,99,312,91,110
accrual,2,1,1,2,0,0
prior,79,69,98,330,163,87
average,9,5,10,35,6,5
dollar,165,72,135,218,159,45
ask,612,360,867,1697,1627,686
prime,1,2,5,10,3,0
spread,3,3,1,12,2,0
find,368,168,332,749,463,324
deceiving,1,0,0,0,0,0
extra,21,56,37,267,23,13
exceedingly,3,0,0,1,2,0
difficult,22,15,22,89,22,42
enter,36,23,33,127,62,55
contract,55,239,88,315,423,181
understanding,24,13,33,53,33,34
reality,4,2,4,8,4,7
amount,56,24,41,162,84,33
fix,73,68,90,335,73,153
mention,49,28,63,165,85,46
opinion,18,6,27,62,7,8
complain,58,11,72,88,48,54
procedure,31,13,13,79,43,78
mail,265,142,419,718,717,448
excuse,25,13,19,59,10,9
particular,18,7,20,17,19,14
handle,64,28,58,177,101,57
impossible,29,14,43,64,26,28
online,310,126,386,289,155,271
internet,21,6,39,20,56,18
age,13,8,24,27,38,36
possible,79,22,58,152,64,124
clerk,13,0,15,29,31,34
snail,1,1,2,6,0,5
likely,22,6,25,28,20,7
legal,85,67,95,345,520,147
high,60,87,159,329,74,95
basically,33,12,28,54,21,21
rip,26,10,10,12,6,4
sorry,16,8,20,41,13,16
late,159,446,971,1181,218,571
hop,12,10,18,61,19,13
directly,46,32,71,132,131,95
umpqua,10,0,0,7,0,0
guy,18,11,17,25,44,24
summary,23,5,26,47,30,11
checkbook,6,2,3,0,0,1
car,80,948,98,50,158,135
fraudster,5,0,1,1,4,2
cash,359,53,265,223,78,20
home,158,108,177,3169,443,162
branch,624,45,101,114,13,7
responsible,54,31,70,110,113,60
negligent,6,5,7,15,13,13
leave,199,123,163,394,555,86
bother,10,3,9,23,15,11
wildly,1,0,0,3,0,0
signature,72,17,70,109,197,157
real,42,15,31,208,71,31
detail,55,32,55,152,97,54
evening,21,6,14,10,12,6
address,204,85,345,408,699,721
house,58,18,49,1176,175,101
stay,26,16,46,138,47,42
lost,11,0,0,8,1,1
thing,121,75,104,291,156,157
morning,70,22,27,56,72,14
thief,22,3,10,4,26,13
pass,73,29,68,162,95,53
hear,94,51,108,291,209,73
immediately,168,63,233,279,280,300
assure,52,25,95,145,46,40
reimburse,21,2,28,42,3,5
let,111,59,118,219,157,106
ploy,1,0,2,2,0,0
unit,19,3,7,49,28,8
later,259,134,275,519,282,132
justifiably,2,0,0,0,2,0
embarrassed,3,0,6,2,7,0
teller,121,0,11,9,1,2
expect,70,23,71,114,33,48
eat,15,4,9,10,7,1
loss,67,38,48,281,30,13
like,277,158,345,620,408,382
point,216,73,522,526,207,186
juncture,1,1,0,2,1,1
walk,40,11,11,43,25,7
minimum,45,27,227,38,27,6
understandable,4,0,0,7,0,0
turn,58,79,69,218,157,62
hinky,1,0,0,0,0,0
jet,1,0,1,0,0,0
see,96,52,126,104,116,92
hook,3,1,1,4,2,2
worth,27,32,32,112,9,6
handwritten,4,0,0,1,2,0
apparently,47,21,42,59,53,30
happy,21,3,18,40,19,5
release,106,60,45,198,99,71
difference,14,22,21,69,16,13
assume,40,18,41,96,77,31
risk,33,12,31,58,12,14
second,84,55,110,292,139,99
short,39,20,41,723,23,38
well,65,34,62,199,36,27
depositor,10,0,1,2,3,0
doubt,9,7,10,22,15,17
low,46,44,77,230,42,76
level,30,9,31,53,16,10
grunt,1,0,0,0,0,0
rule,46,23,36,142,47,60
accountholder,8,0,0,0,0,0
minute,104,39,97,100,82,27
correct,115,92,197,463,203,510
save,49,6,26,155,32,13
labor,3,2,4,2,0,2
cost,63,51,73,391,106,41
cut,21,14,29,36,18,7
corner,2,1,3,6,1,0
responsibility,46,17,39,79,78,55
wrong,97,56,116,259,177,201
wells,430,113,175,1194,44,1
fargo,448,121,192,1215,46,1
apply,138,209,549,1026,128,237
unable,105,58,129,245,134,157
fine,54,18,45,90,44,42
false,48,37,76,155,236,167
date,268,278,533,1563,801,867
nsf,66,2,11,23,4,0
crazy,8,5,3,10,5,9
catch,18,18,27,93,19,15
pile,3,0,3,1,0,0
current,53,102,93,640,146,170
collect,41,43,62,172,1085,85
clone,3,0,0,1,0,0
fl,21,11,17,47,50,44
min,6,4,24,17,8,9
film,2,0,0,0,0,0
region,66,1,0,8,1,0
reluctant,2,0,0,2,2,1
future,35,13,38,77,38,20
plastic,1,1,1,0,0,1
search,26,12,23,47,49,34
learn,40,22,55,88,38,29
easy,13,10,17,28,14,12
key,49,14,17,53,26,19
safe,54,2,8,12,7,6
box,63,7,22,40,57,22
continually,11,7,8,37,25,17
bill,292,148,657,397,1354,348
correctly,22,22,26,86,25,84
owe,98,248,233,485,1699,307
contact,499,367,630,1515,1710,838
ignore,32,16,38,116,119,118
decide,84,39,96,216,85,47
institution,106,24,35,59,16,32
confirmation,58,21,45,106,57,96
issuer,6,0,18,1,3,3
clear,181,64,109,231,188,128
deceive,6,10,13,23,11,6
earn,40,4,98,35,12,3
citigold,65,0,2,0,0,0
confirm,183,48,139,263,168,133
promotion,188,8,146,18,4,4
fulfill,10,6,6,10,6,5
requirement,177,6,85,167,35,24
update,61,52,104,269,131,329
complete,158,58,111,645,114,193
respond,76,51,126,359,332,237
visit,67,10,24,20,75,16
location,91,15,21,28,42,12
loan,206,1590,102,6825,873,614
sister,48,3,12,27,43,16
parking,4,1,0,0,18,8
lot,51,29,33,117,42,44
armed,2,1,0,3,2,0
guard,4,0,0,1,3,0
dress,2,1,0,0,0,1
swat,1,0,0,0,0,0
gear,2,1,1,0,2,2
alarming,1,1,0,2,2,4
drive,23,71,13,29,29,17
park,2,5,0,4,10,3
lane,2,0,0,0,2,0
press,12,1,14,15,37,10
job,65,77,62,236,215,79
quickly,25,7,15,61,22,7
miss,69,53,114,374,88,74
run,68,50,91,225,62,93
errand,2,0,0,0,1,0
slip,30,7,15,7,20,1
fill,31,28,57,103,49,43
through,1,0,0,0,0,0
deal,69,64,87,293,123,81
oh,11,10,7,31,16,8
interstate,1,0,0,1,23,0
additional,116,84,157,521,161,87
odd,6,2,10,19,9,6
road,4,3,5,6,5,3
demonstrable,1,0,0,0,0,0
feature,23,2,24,3,3,5
vacation,9,1,18,20,11,3
wear,2,12,0,0,4,3
photo,40,6,6,9,4,8
medical,15,15,27,73,368,79
laboratory,1,0,0,0,1,0
afternoon,16,1,12,24,7,4
driver,18,5,20,7,34,73
snap,1,0,0,1,1,1
overhead,1,0,2,1,0,0
camera,14,1,2,0,1,1
disturbing,6,2,4,13,5,0
invasive,1,0,0,0,5,1
privacy,17,4,23,13,42,32
start,112,88,124,698,318,130
mumble,1,0,0,0,0,0
read,53,31,74,115,67,56
operation,12,1,13,18,20,3
choke,1,0,0,0,0,0
familiar,4,0,5,10,12,5
dept,57,25,47,116,79,54
justice,8,5,5,40,20,1
program,45,46,127,433,54,35
intimidate,3,1,2,4,17,1
ridiculous,28,16,24,47,23,16
poor,26,15,30,63,20,13
consumer,162,217,298,371,438,587
young,22,5,11,25,10,8
lady,36,19,25,45,76,11
remain,69,60,110,156,107,142
possession,20,20,16,32,20,12
receipt,113,22,92,173,210,126
exit,2,1,2,6,1,1
door,8,7,7,72,32,4
verify,112,56,147,160,467,947
friday,64,24,22,76,33,6
private,15,11,11,56,68,16
success,8,5,5,30,10,16
multiple,131,56,110,213,243,177
appropriate,20,9,12,37,29,17
resolution,72,39,68,164,80,56
disclosure,24,14,22,162,33,24
atm,346,1,25,1,2,4
produce,13,8,4,45,42,26
possess,4,3,2,7,7,1
smartfone,1,0,0,0,0,0
mean,76,25,74,146,107,91
concern,100,40,105,258,147,132
face,23,14,17,86,18,23
intimidating,1,1,0,1,3,0
frightening,1,0,1,0,0,0
lack,33,20,30,144,39,41
designate,4,1,2,10,6,1
monday,68,21,25,83,44,7
holiday,22,2,18,10,7,3
action,97,65,139,304,444,164
discuss,44,28,58,133,90,32
investigate,113,24,120,115,117,348
zip,9,2,4,7,5,2
remember,26,3,27,30,40,8
finally,98,71,122,375,147,81
agonizing,1,1,1,1,0,0
miracle,1,0,1,0,0,0
bofa,64,0,38,104,2,0
train,6,1,18,10,4,2
instruct,40,19,22,88,56,20
serviceconnecte,1,0,0,0,0,0
draft,62,15,22,66,10,9
checkingaccount,1,0,0,0,0,0
condo,8,0,2,84,4,1
association,4,0,7,53,30,4
notify,151,69,139,284,267,152
orderedon,1,0,0,0,0,0
withoutmy,1,0,0,0,0,0
notfund,1,0,0,0,0,0
iincur,1,0,0,0,0,0
mycondo,1,0,0,0,0,0
lean,4,4,0,4,3,1
property,56,29,12,1814,200,43
mistake,81,33,99,216,65,86
rectify,20,11,21,37,16,18
thethe,1,1,0,0,0,0
bounce,26,5,8,12,7,3
nowcheck,1,0,0,0,0,0
trustmark,1,0,0,1,0,0
great,33,28,61,100,38,38
inconsistent,3,1,4,6,2,5
strongly,4,2,4,15,6,5
believe,171,113,245,448,298,153
victim,60,33,36,73,164,137
theft,90,27,73,44,340,317
ftc,7,6,31,19,98,94
recieve,14,9,28,22,62,30
client,54,9,26,187,121,14
creditor,16,41,90,60,583,611
realize,54,39,70,101,40,31
thier,4,1,0,1,4,1
end,163,133,275,474,230,149
crumb,1,0,1,0,0,0
friend,36,16,37,49,55,6
pls,1,7,0,3,0,0
advise,144,135,165,456,328,168
vendor,34,9,47,10,5,11
erroneously,8,3,6,20,6,8
cause,178,77,128,319,167,151
subsequently,24,3,20,44,32,19
person,216,78,189,366,436,182
liable,20,3,18,25,30,35
rerurn,1,0,0,0,0,0
secondly,4,5,5,12,11,3
single,38,26,45,158,56,31
preposterous,2,0,0,1,0,2
citi,215,3,531,128,26,3
aadvantage,18,0,14,0,0,0
mile,98,26,93,7,10,0
automated,3,4,10,4,6,4
billpay,5,0,5,1,0,0
spend,66,22,213,128,28,41
satisfy,15,6,11,43,22,15
message,109,48,123,218,442,49
website,86,67,188,238,88,145
following,25,7,24,34,27,38
purchase,248,264,770,509,228,132
meet,154,19,97,167,50,31
promotional,63,11,125,1,0,5
expectation,1,1,3,11,2,2
cycle,17,2,86,11,9,7
calculate,3,13,18,85,11,8
member,52,23,55,67,97,27
reference,57,32,60,91,165,70
research,68,26,35,173,71,28
unfortunately,25,12,29,84,41,16
eligible,47,5,52,85,14,4
miles,16,6,8,0,0,0
available,216,24,134,181,56,53
target,29,3,87,18,8,4
communication,40,25,58,151,264,47
record,171,96,187,574,571,476
contradict,6,4,7,19,2,1
shot,14,6,7,11,5,15
national,32,13,21,73,101,18
costumer,3,1,3,7,2,2
station,15,0,18,5,14,3
pre,21,30,21,115,27,17
thank,141,62,150,268,195,273
log,71,20,55,58,29,33
debt,109,196,295,456,6675,1042
behalf,26,13,23,133,122,41
explain,226,159,285,515,370,168
csr,13,6,18,28,0,3
inform,287,156,312,648,475,185
associate,69,23,50,55,246,54
refer,42,17,38,131,83,37
recovery,6,20,12,13,466,14
banker,124,5,19,49,4,8
discussion,12,5,13,22,8,3
manager,327,101,176,337,178,55
collection,70,139,214,179,3257,1010
hand,45,15,42,100,45,31
bright,1,0,0,1,6,0
exclaim,1,0,0,0,0,0
charles,2,0,0,0,0,0
schwab,5,0,0,0,0,0
vehicle,21,625,12,9,104,57
make,110,135,176,541,238,129
adequate,4,3,6,16,15,6
importantly,4,3,11,10,7,5
story,34,10,44,80,29,11
terminate,12,10,10,46,35,6
termination,10,4,0,18,21,16
precede,5,0,3,9,4,1
select,19,5,19,109,13,11
surround,3,2,2,9,1,2
admitting,1,0,0,0,0,0
refusal,11,4,11,24,27,17
husband,81,55,114,355,231,65
drop,19,28,53,111,96,118
thousand,17,10,21,36,12,8
qualify,28,19,50,254,10,13
outside,27,6,22,37,44,15
clean,4,6,7,15,28,21
attached,14,3,9,44,25,30
actual,26,15,39,77,49,63
recent,32,20,63,98,58,63
interaction,2,1,6,2,3,0
pnc,156,39,37,121,9,0
prepaid,6,0,5,2,11,0
reload,4,0,0,0,0,0
child,23,10,16,133,41,48
not,80,59,79,188,173,114
netspend,33,0,0,0,0,0
thenm,1,0,0,0,0,0
perfisinal,1,0,0,0,0,0
everday,1,0,0,0,0,0
ed,2,0,1,7,6,5
sen,3,1,1,0,0,2
chashi,1,0,0,0,0,0
fun,2,0,1,5,3,0
everyday,14,15,5,12,32,1
yes,43,20,40,87,51,21
contradictory,4,0,2,1,0,0
agent,81,59,136,435,149,111
stonewall,3,0,3,8,0,4
repeat,22,9,48,86,93,33
provably,1,0,0,0,0,0
incorrect,30,29,59,176,72,361
response,127,66,166,531,361,357
step,31,10,44,97,42,46
discover,98,39,367,91,89,54
unauthorized,126,13,68,21,33,163
concerned,22,11,26,38,24,11
executor,11,0,1,9,5,0
county,10,5,8,202,92,56
florida,14,10,28,47,43,10
estate,68,15,11,222,29,11
purpose,21,15,34,59,76,66
consulting,1,0,1,0,3,0
travel,26,3,80,11,12,5
pleading,1,1,0,1,1,0
successful,6,2,9,18,16,14
pursuit,2,1,1,2,3,6
beneficiary,22,0,1,24,10,0
contested,1,0,0,1,2,0
image,21,1,9,9,4,8
telephone,50,18,54,101,138,74
consultation,2,1,1,3,3,0
additionally,25,8,21,76,62,29
combine,8,4,3,17,4,11
conf,1,0,0,2,0,0
trans,1,0,1,3,6,161
rescind,1,13,0,40,5,1
dishonor,2,0,0,2,0,0
properly,27,19,48,115,57,72
bring,60,60,65,209,76,49
consequential,1,0,0,0,0,0
proximately,2,0,0,0,0,0
demand,45,44,41,175,218,132
consideration,12,4,12,51,13,13
clearly,70,36,88,176,93,101
mind,15,14,21,41,14,10
final,29,36,44,168,87,60
meaningful,3,1,1,0,5,3
drastic,1,1,1,4,1,1
harmful,3,0,1,2,1,3
compliance,12,6,9,41,36,29
ucc,4,1,0,7,3,10
writing,21,18,30,71,67,36
calendar,13,2,7,8,5,5
require,123,69,135,571,244,281
breach,25,9,28,35,31,32
represent,15,7,22,99,146,16
offense,3,1,0,3,2,2
obtain,53,66,73,220,183,191
pretense,2,1,1,7,5,0
remedy,14,4,6,38,16,11
reinstatement,1,2,1,43,2,0
emotional,3,4,0,21,6,6
distress,5,6,1,19,6,3
rating,14,18,43,47,30,45
appropriately,7,0,6,15,1,0
description,11,1,12,16,12,16
whatsoever,6,3,15,18,20,20
hour,192,50,160,220,169,62
conversation,41,39,61,181,117,29
staff,26,11,14,43,27,7
forward,48,30,59,251,132,87
completely,45,38,92,119,64,71
opportunity,23,17,41,80,45,32
finding,7,2,6,12,12,21
proper,31,14,24,94,78,107
group,12,2,8,59,104,7
authenticate,4,1,2,2,1,9
warning,22,6,23,9,11,11
fortunately,1,1,0,7,2,0
easily,6,6,14,23,10,13
justify,7,1,11,17,3,7
far,45,20,41,99,54,42
financially,11,8,16,36,19,10
benefit,46,16,119,82,22,13
perpetuate,1,0,0,1,2,0
challenge,10,1,3,21,21,28
kind,49,22,40,79,61,53
idea,27,13,40,79,91,30
pursue,11,4,22,61,68,38
meantime,15,5,15,43,15,13
intent,13,9,17,58,27,11
especially,27,11,29,65,45,21
division,12,5,8,40,15,9
wellsfargo,20,2,1,17,0,0
blue,5,4,14,9,9,1
frozen,10,0,3,0,1,3
center,56,11,45,60,38,14
block,69,12,32,33,56,140
unlock,5,0,2,1,0,1
accordingly,4,2,8,19,17,24
intern,3,0,0,0,2,0
indication,6,2,7,15,13,2
refinance,17,55,19,789,35,42
interview,4,1,0,6,5,3
appriasel,1,0,0,0,0,0
appr,1,0,0,0,0,1
valuation,1,2,0,46,0,1
ratio,3,3,3,71,0,6
appraisal,5,10,6,524,1,0
redeem,10,7,21,2,1,1
unnecessary,10,6,3,34,7,3
representatives,1,1,2,2,1,0
progress,10,2,5,43,5,9
direction,6,1,4,24,7,1
greatly,8,8,12,35,15,25
appreciate,25,17,27,73,43,43
download,11,3,20,11,5,6
highlight,3,0,0,8,3,8
